countriesAndTerritories,Cont,Cont_Det,Pop
Afghanistan,AS,WA,37172386
Albania,EU,EU,2866376
Algeria,AF,AF,42228429
Andorra,EU,EU,77006
Angola,AF,AF,30809762
Anguilla,SA,SA,0
Antigua_and_Barbuda,SA,SA,96286
Argentina,SA,SA,44494502
Armenia,AS,WA,2951776
Aruba,SA,SA,105845
Australia,AU,AU,24992369
Austria,EU,EU,8847037
Azerbaijan,AS,WA,9942334
Bahamas,NA,NA,385640
Bahrain,AS,ME,1569439
Bangladesh,AS,EA,161356039
Barbados,SA,SA,286641
Belarus,EU,EU,9485386
Belgium,EU,EU,11422068
Belize,SA,SA,383071
Benin,AF,AF,11485048
Bermuda,NA,NA,63968
Bhutan,AS,EA,754394
Bolivia,SA,SA,11353142
Bosnia_and_Herzegovina,EU,EU,3323929
Brazil,SA,SA,209469333
British_Virgin_Islands,SA,SA,29802
Brunei_Darussalam,AS,EA,428962
Bulgaria,EU,EU,7024216
Burkina_Faso,AF,AF,19751535
Cambodia,AS,EA,16249798
Cameroon,AF,AF,25216237
Canada,NA,NA,37058856
Cape_Verde,AF,AF,543767
Cases_on_an_international_conveyance_Japan,AS,EA,3000
Cayman_Islands,SA,SA,64174
Central_African_Republic,AF,AF,4666377
Chad,AF,AF,15477751
Chile,SA,SA,18729160
China,AS,EA,1392730000
Colombia,SA,SA,49648685
Congo,AF,AF,5244363
Costa_Rica,SA,SA,4999441
Cote_dIvoire,AF,AF,25069229
Croatia,EU,EU,4089400
Cuba,SA,SA,11338138
Curacao,SA,SA,159849
Cyprus,EU,EU,1189265
Czechia,EU,EU,10625695
Democratic_Republic_of_the_Congo,AF,AF,84068091
Denmark,EU,EU,5797446
Djibouti,AF,AF,958920
Dominica,SA,SA,71625
Dominican_Republic,SA,SA,10627165
Ecuador,AF,AF,17084357
Egypt,AF,ME,98423595
El_Salvador,SA,SA,6420744
Equatorial_Guinea,AF,AF,1308974
Eritrea,AF,AF,0
Estonia,EU,EU,1320884
Eswatini,AF,AF,1367000
Ethiopia,AF,AF,109224559
Faroe_Islands,EU,EU,48497
Fiji,SA,SA,883483
Finland,EU,EU,5518050
France,EU,EU,66987244
French_Polynesia,AU,AU,277679
Gabon,AF,AF,2119275
Gambia,AF,AF,2280102
Georgia,EU,EU,3731000
Germany,EU,EU,82927922
Ghana,AF,AF,29767108
