Country,Cont,Cont_Det,Pop,Date,Cases,Deaths,Cases_cum,Deaths_cum,Deaths_Ratio_cum,Deaths_per1MPop,days_since_1_per5M
Afghanistan,AS,WA,37.17,2020-02-25,1,0,1,0,0.0,0.0,0
Afghanistan,AS,WA,37.17,2020-02-26,0,0,1,0,0.0,0.0,0
Afghanistan,AS,WA,37.17,2020-02-27,0,0,1,0,0.0,0.0,0
Afghanistan,AS,WA,37.17,2020-02-28,0,0,1,0,0.0,0.0,0
Afghanistan,AS,WA,37.17,2020-02-29,0,0,1,0,0.0,0.0,0
Afghanistan,AS,WA,37.17,2020-03-01,0,0,1,0,0.0,0.0,0
Afghanistan,AS,WA,37.17,2020-03-02,0,0,1,0,0.0,0.0,0
Afghanistan,AS,WA,37.17,2020-03-08,3,0,4,0,0.0,0.0,0
Afghanistan,AS,WA,37.17,2020-03-11,3,0,7,0,0.0,0.0,0
Afghanistan,AS,WA,37.17,2020-03-15,3,0,10,0,0.0,0.0,0
Afghanistan,AS,WA,37.17,2020-03-16,6,0,16,0,0.0,0.0,0
Afghanistan,AS,WA,37.17,2020-03-17,5,0,21,0,0.0,0.0,0
Afghanistan,AS,WA,37.17,2020-03-18,1,0,22,0,0.0,0.0,0
Afghanistan,AS,WA,37.17,2020-03-19,0,0,22,0,0.0,0.0,0
Afghanistan,AS,WA,37.17,2020-03-20,0,0,22,0,0.0,0.0,0
Afghanistan,AS,WA,37.17,2020-03-21,2,0,24,0,0.0,0.0,0
Afghanistan,AS,WA,37.17,2020-03-22,0,0,24,0,0.0,0.0,0
Afghanistan,AS,WA,37.17,2020-03-23,10,0,34,0,0.0,0.0,0
Afghanistan,AS,WA,37.17,2020-03-24,6,1,40,1,0.025,0.03,0
Afghanistan,AS,WA,37.17,2020-03-25,2,0,42,1,0.023809523809523808,0.03,0
Afghanistan,AS,WA,37.17,2020-03-26,33,0,75,1,0.013333333333333334,0.03,0
Afghanistan,AS,WA,37.17,2020-03-27,0,0,75,1,0.013333333333333334,0.03,0
Afghanistan,AS,WA,37.17,2020-03-28,16,1,91,2,0.02197802197802198,0.05,0
Afghanistan,AS,WA,37.17,2020-03-29,15,1,106,3,0.02830188679245283,0.08,0
Afghanistan,AS,WA,37.17,2020-03-30,8,1,114,4,0.03508771929824561,0.11,0
Afghanistan,AS,WA,37.17,2020-03-31,27,0,141,4,0.028368794326241134,0.11,0
Afghanistan,AS,WA,37.17,2020-04-01,25,0,166,4,0.024096385542168676,0.11,0
